user_id,age,isFemale,factual_present,future,past,psychological_present
16796041,22,1,0.2477,0.1401,0.1975,0.109
16816596,32,1,0.1824,0.1215,0.2256,0.0585
16876834,28,1,0.3599,0.101,0.1487,0.0779
16895618,28,0,0.2902,0.0546,0.1697,0.0426
16897580,25,1,0.274,0.1359,0.1691,0.0931
16904444,25,1,0.1633,0.0408,0.102,0.0204
16947603,36,0,0.2141,0.1518,0.1729,0.06
17042416,27,0,0.2631,0.1146,0.1629,0.0704
17054905,43,1,0.152,0.2028,0.1638,0.1247
17079667,59,0,0.4059,0.0719,0.145,0.019
17240648,30,0,0.1994,0.109,0.1804,0.0416
17304440,43,1,0.321,0.0483,0.1847,0.0398
17312360,41,0,0.2822,0.0664,0.0788,0.0373
17316061,35,1,0.1908,0.0703,0.2126,0.0491
17412436,27,1,0.1463,0.1771,0.1583,0.0761
17435961,32,0,0.1369,0.1235,0.2201,0.0832
17447251,32,1,0.1532,0.1431,0.1935,0.0827
17485328,35,1,0.1889,0.1675,0.1784,0.0684
17563678,30,1,0.2585,0.1667,0.1497,0.0748
17564169,34,1,0.2776,0.0682,0.1919,0.0546
17639688,33,1,0.2328,0.1452,0.2341,0.053
17644976,35,0,0.1435,0.154,0.1738,0.0476
17724851,34,1,0.1889,0.1051,0.2045,0.0927
17745727,44,1,0.3158,0.1579,0.0526,0.0526
17752639,27,0,0.17,0.1549,0.1786,0.0842
17821435,32,1,0.2035,0.0832,0.1956,0.0553
17916896,49,0,0.1715,0.0959,0.1929,0.0599
17956633,28,1,0.2658,0.1005,0.1645,0.0919
17998585,35,1,0.1247,0.1654,0.131,0.0712
18112020,58,0,0.1714,0.0924,0.1908,0.0387
18144320,28,0,0.2361,0.077,0.1388,0.0365
18227956,39,1,0.1905,0.1048,0.1238,0.0857
18310576,35,1,0.3243,0.0564,0.0633,0.0293
18382072,24,1,0.2916,0.097,0.1374,0.0687
18498215,25,1,0.2386,0.1119,0.1297,0.0625
18556300,53,0,0.2408,0.0714,0.0844,0.05
18570701,46,1,0.1785,0.0783,0.1639,0.0255
18591345,23,1,0.3277,0.1213,0.1419,0.0926
18608662,42,1,0.2812,0.081,0.1607,0.0527
18623360,41,0,0.1731,0.1166,0.2041,0.0315
18658220,25,0,0.2703,0.1009,0.2,0.0631
18705061,32,1,0.1643,0.1308,0.1799,0.0932
18727486,27,0,0.3072,0.0723,0.2048,0.0361
18779480,20,1,0.2588,0.1895,0.1982,0.09
18784606,35,1,0.1262,0.1964,0.1591,0.1034
18804924,26,0,0.2623,0.0328,0.1311,0.0328
18888658,37,1,0.1313,0.0909,0.1818,0.0505
19083393,47,0,0.2096,0.085,0.2308,0.0645
19155976,21,1,0.2736,0.1623,0.1692,0.1228
19305956,29,1,0.1455,0.1045,0.1369,0.1207
19310228,35,0,0.1468,0.1291,0.164,0.0614
19382449,40,0,0.2304,0.0925,0.2179,0.0392
19472429,29,1,0.2544,0.1404,0.2018,0.0614
19483680,39,0,0.2837,0.1161,0.1106,0.046
19506961,42,1,0.0791,0.1986,0.167,0.1037
19571556,37,0,0.2383,0.1133,0.1297,0.0818
19691215,31,1,0.2961,0.1182,0.1685,0.0554
19743660,23,1,0.3031,0.103,0.1385,0.0477
