user_id,age,isFemale,factual_present,future,past,psychological_present
1065458227,28,0,0.0667,0.0,0.0333,0.3333
1065686767,22,0,0.0,0.0,0.0,0.44
1066476182,22,1,0.0,0.0,0.0,0.619
1066583191,29,0,0.0658,0.0132,0.0,0.4211
1066591602,25,0,0.0303,0.0,0.0,0.6364
1066670530,26,1,0.0137,0.0,0.0,0.4521
1066874617,29,0,0.0173,0.0058,0.0,0.5029
1067197332,28,0,0.0,0.0,0.0,0.6
1067268403,24,1,0.0714,0.0159,0.0,0.4444
1068057807,31,0,0.0526,0.0526,0.0,0.4211
1068224031,29,0,0.0,0.0,0.0,0.5161
1068812837,43,0,0.0978,0.0,0.0,0.163
1070654151,28,0,0.0,0.0082,0.0,0.3607
1071583217,25,1,0.0204,0.0,0.0,0.3878
1072177052,28,0,0.0159,0.0,0.0,0.4762
1072430195,29,0,0.05,0.0,0.0,0.4
1073165171,30,0,0.0196,0.0,0.0,0.4902
1073447437,28,0,0.0674,0.0,0.0,0.1011
1074745073,25,0,0.04,0.0,0.0,0.36
1076165491,25,1,0.0242,0.0061,0.0061,0.6303
1079108593,25,1,0.08,0.0,0.0,0.32
1079309350,35,0,0.1129,0.0,0.0,0.4677
1081116613,28,0,0.0,0.0,0.0,0.6129
1081455044,20,1,0.0357,0.0,0.0357,0.5357
1081513997,25,1,0.3182,0.0,0.0455,0.4545
1081795487,22,1,0.0,0.0,0.0,0.7059
1081893275,24,0,0.0103,0.0051,0.0,0.5179
1081946863,25,1,0.0714,0.0,0.0238,0.5
1081984415,46,0,0.1765,0.0,0.0,0.2353
1082405925,22,0,0.0145,0.0,0.0145,0.5942
1082440644,29,1,0.0256,0.0,0.0,0.5385
1082831653,23,1,0.1111,0.037,0.0,0.2963
1083032351,37,1,0.0909,0.0101,0.0101,0.4242
1083449365,32,1,0.0297,0.0,0.0099,0.2574
1084308633,28,0,0.0079,0.0,0.0079,0.5669
1085607541,26,0,0.037,0.037,0.0,0.6667
1085976101,31,0,0.012,0.0,0.0,0.8554
1086170661,29,0,0.0323,0.0161,0.0,0.6613
1086778783,22,0,0.05,0.0,0.0,0.75
1086815644,24,1,0.0055,0.0,0.0,0.6557
1087980537,30,0,0.0,0.0,0.0,0.2609
1088201373,26,1,0.0,0.0,0.0,0.7692
1089262321,22,0,0.0556,0.0,0.0278,0.6944
1092685507,38,0,0.0,0.0,0.0,0.6667
1093244655,30,0,0.1364,0.0,0.0,0.5
1094438384,33,0,0.0,0.0,0.0,0.4211
1095085472,27,0,0.0,0.0,0.0,0.5556
1095151000,28,0,0.0208,0.0,0.0,0.3958
1095198147,23,1,0.0286,0.0286,0.0,0.5143
1095478937,25,1,0.2165,0.0103,0.0,0.2577
1096407190,25,0,0.0083,0.0,0.0,0.475
